city,pop_2018_est,place
Mead Valley,19925,46646
Meridian,405,46926
Mesa Verde,584,47066
Mexican Colony,363,47192
Midpines,1396,47374
Midway City,8374,47430
Milford,181,47472
Minkler,1074,47822
Miranda,672,48060
Monmouth,103,48592
Mono City,98,48602
Monson,380,48676
Maywood,27542,46492
Monrovia,37006,48648
Palmdale,156904,55156
Quartz Hill,10164,59052
Redondo Beach,67700,60018
San Marino,13285,68224
Santa Fe Springs,17791,69154
Sierra Madre,11006,71806
Manhattan Beach,35573,45400
San Rafael,58939,68364
Santa Venetia,4790,70154
Sausalito,7139,70364
Stinson Beach,556,74172
Bootjack,768,07525
Hayfork,2421,32562
Lewiston,1340,41278
Beaumont,45403,04758
Bermuda Dunes,6817,06028
Rocklin,63127,62364
Grayson,1224,30882
Keyes,6185,38422
Corcoran,22301,16224
Stratford,878,75252
Laguna Hills,31185,39220
Alpaugh,1074,01164
Farmersville,10742,23616
Strathmore,2915,75280
Visalia,131066,82954
Laguna Woods,16228,39259
La Habra,61910,39290
Seal Beach,24364,70686
Villa Park,5912,82744
Meadow Vista,3460,46632
Hayward,158241,33000
Livermore,89027,41992
Lemon Grove,26767,41124
Fetters Hot Springs-Agua Caliente,4697,23973
Healdsburg,11802,33056
Petaluma,60635,56784
Mineral,292,47794
Red Bluff,14132,59892
Laytonville,1175,40928
Montalvin Manor,3023,48718
Monterey Park Tract,291,48916
Monument Hills,1700,49045
Moskowite Corner,151,49432
Mountain Center,0,49544
Mountain Gate,794,49558
Mountain House,15645,49582
Mount Hermon,998,49796
Mount Laguna,0,49810
Myers Flat,0,50146
Newcastle,1167,51000
New Cuyama,763,51028
Newell,342,51042
New Pine Creek,71,51168
Nicasio,106,51280
Nicolaus,166,51336
Nipinnawasee,319,51470
Nord,426,51574
Norris Canyon,987,51622
North Gate,559,51890
North Richmond,4233,52162
Elk Grove,168503,22020
El Dorado Hills,45599,21880
West Point,571,84732
Mountain View,80993,49670
Bonsall,4464,07498
Lake Forest,82911,39496
Santa Ana,333499,69000
Lemoore,25791,41152
Poplar-Cotton Center,2436,58191
La Presa,37437,40326
Los Molinos,1845,44140
Agoura Hills,20636,00394
Mendocino,782,46814
Eldridge,1351,21894
Duarte,21713,19990
Fort Bragg,7298,25058
Solana Beach,13370,72506
Rolling Hills,1630,62602
Whittier,86523,85292
North El Monte,4028,51820
Cherryland,16387,12902
Shingle Springs,3865,71554
South Lake Tahoe,21814,73108
Lockeford,3390,42104
Morada,4068,49180
Stockton,306283,75000
Lakeport,4855,39710
Leggett,62,41026
Lemon Hill,14096,41142
Leona Valley,1581,41208
Likely,0,41390
Lindcove,438,41656
Linnell Camp,686,41740
Litchfield,178,41782
Little River,189,41866
Hollister,37835,34120
Artesia,16817,02896
Azusa,49544,03386
Baldwin Park,76222,03666
Cerritos,50172,12552
Commerce,12933,14974
Hidden Hills,1634,33518
Industry,344,36490
Inglewood,110327,36546
Lennox,21329,41180
Canyondam,66,10914
Crescent Mills,287,17050
La Porte,0,40312
Little Grass Valley,0,41789
Mohawk Vista,63,48448
Chinese Camp,206,13182
West Puente Valley,23629,84774
Colusa,5902,14946
Forest Meadows,1516,24897
El Cerrito,5471,21810
Idyllwild-Pine Cove,2459,36203
Winterhaven,210,86020
Chowchilla,18533,13294
Parksdale,2493,55751
Cathedral City,54037,12048
Highgrove,4986,33574
Lindsay,13232,41712
Woodside,5541,86440
Buttonwillow,1591,09332
Banning,30942,03820
Calimesa,8651,09864
Home Gardens,11442,34302
Brawley,26009,08058
El Centro,43898,21782
Holtville,6458,34246
Imperial,17175,36280
Lucerne,2956,44406
North Lakeport,3141,51990
Lake of the Pines,4137,39690
Truckee,16377,80588
Dillon Beach,219,19262
Romoland,2227,62756
Indio,88291,36448
Murrieta,111427,50076
Thousand Palms,7814,78596
Calexico,39934,09710
Desert Shores,619,19024
Ocotillo,58,53378
Bolinas,1077,07316
Corte Madera,9866,16462
Bodfish,1384,07274
Delano,52713,18394
Channel Islands Beach,2864,12669
Golden Hills,9407,30282
Keene,313,37946
Lost Hills,1943,44280
Lockwood,604,42146
Lodoga,126,42230
Loleta,676,42328
Loma Mar,114,42384
Elmira,285,22146
Rio Vista,8618,60984
Vallejo,120977,81666
Burbank,5252,08968
Colfax,2029,14498
San Joaquin,4021,67126
Shaver Lake,498,71246
Alum Rock,11791,01458
Fruitdale,899,27080
Los Altos,30588,43280
Milpitas,77457,47766
Morgan Hill,43876,49278
Magalia,12671,45120
Paradise,26543,55520
Willits,4893,85600
West Menlo Park,4116,84536
Bear Valley Springs,5442,04734
Montecito,8611,48844
Toro Canyon,1735,79529
Big Pine,1568,06616
Round Valley,533,63148
West Bishop,2661,84120
Wilkerson,431,85551
Almanor,0,01094
Lake Almanor Country Club,302,39411
Madera,64362,45022
Muir Beach,242,49950
Novato,55523,52582
Mariposa,1351,45932
Cameron Park,19902,10256
Susanville,15216,77364
Country Club,9846,16651
Kennedy,3665,38065
Merced,82289,46898
Portola Valley,4594,58380
Tracy,88806,80238
Meadow Valley,362,46618
Chilcoot-Vinton,147,13077
Iron Horse,60,36735
Paxton,0,56182
Valley Ranch,10,81869
Oakhurst,3424,52764
Bertsch-Oceanview,2042,06150
Crescent City,6681,17022
Klamath,617,38702
Clearlake,15323,13945
Middletown,757,47332
Arcata,18050,02476
Humboldt Hill,4268,34928
Teviston,1027,78336
Thermal,1359,78456
Thornton,1038,78568
Three Rocks,210,78652
University of California-Merced,0,81312
Timber Cove,149,78715
Tonyville,881,78932
Tooleville,309,78949
Topanga,7449,78960
Topaz,234,79030
Tres Pinos,662,80364
Trinity Center,161,80476
Trinity Village,279,80483
Trona,37,80515
Trowbridge,296,80560
Tuttle,63,80882
Tuttletown,941,80896
Valley Ford,148,81778
Valley Home,202,81792
Valley Wells,0,81925
Verdi,187,82334
Victor,444,82562
Vina,210,82786
Vista Santa Rosa,2967,83085
Volcano,44,83094
Volta,216,83108
Walker,863,83262
Warm Springs,1903,83460
Warner Valley,0,83494
Washington,53,83570
Waterloo,719,83626
Waukena,215,83724
Wawona,196,83766
Weott,271,84004
West Goshen,567,84345
West Park,1035,84680
West Rancho Dominguez,22932,84780
Whitley Gardens,164,85222
Wilsonia,0,85866
Woodbridge,3865,86230
Charter Oak,9760,12734
Cudahy,24016,17498
Florence-Graham,64162,24477
Gardena,59924,28168
Hawthorne,87370,32548
Hermosa Beach,19650,33364
Patterson,21783,56112
Riverbank,24237,61068
Orangevale,34757,54092
McFarland,14456,44826
Tehachapi,12753,78092
Castro Valley,63288,11964
Calwa,1974,10032
Clovis,106666,14218
Glen Ellen,727,30028
Rohnert Park,42694,62546
Chico,91998,13014
Oroville East,7368,54388
Doyle,622,19878
Drytown,20,19976
Dunnigan,1278,20228
Dutch Flat,196,20298
Eagleville,81,20424
East Nicolaus,254,20900
East Rancho Dominguez,16734,21034
East Tulare Villa,980,21210
Edmundson Acres,514,21558
Edna,186,21565
Elizabeth Lake,1895,21964
Elk Creek,191,22006
El Nido,328,22286
El Portal,268,22328
El Rancho,65,22360
El Sobrante (Riverside County),13966,22457
Elverta,5821,22524
Eucalyptus Hills,6017,23000
Fairmead,1876,23210
Fiddletown,329,23980
Fieldbrook,921,24008
Fields Landing,325,24022
Fish Camp,90,24218
Cloverdale,8798,14190
Woodlands,1743,86380
Yankee Hill,301,86678
Yettem,441,86734
Yolo,429,86804
Zayante,939,87090
Beckwourth,214,04772
Montara,2692,48760
San Anselmo,12567,64434
Yosemite Lakes,5647,86878
Rancho Mirage,18075,59500
Redlands,71012,59962
Searles Valley,1646,70728
Nevada City,3128,50874
Kelseyville,3332,38044
Alta Sierra,7207,01360
Lake Wildwood,5208,39885
McKinleyville,16612,44910
Lake of the Woods,768,39696
Lebec,1802,40956
Mettler,138,47164
Mountain Mesa,1236,49600
Onyx,588,53910
Randsburg,64,59668
Rosamond,20028,62826
Stallion Springs,3625,73868
Wasco,26708,83542
Camarillo,67543,10046
Casa Conejo,3366,11656
Moorpark,36274,49138
Simi Valley,126199,72016
Thousand Oaks,128481,78582
Lake Elsinore,64037,39486
La Quinta,40704,40354
Palm Springs,47525,55254
Reedley,25493,60242
Malaga,1337,45232
Angels,3811,02112
La Cañada Flintridge,20374,39003
Foresthill,1546,24834
Granite Bay,22439,30693
Loomis,6753,43140
