city,pop_2018_est,place,city_y,area_land,place_type,pop_density,mh_spaces
Mead Valley,19925,46646,Mead Valley,19.08,Mead Valley CDP,1044.29,
Meridian,405,46926,Meridian,5.29,Meridian CDP,76.56,6.0
Mesa Verde,584,47066,Mesa Verde,4.3,Mesa Verde CDP,135.81,
Mexican Colony,363,47192,Mexican Colony,0.03,Mexican Colony CDP,12100.0,
Midpines,1396,47374,Midpines,24.53,Midpines CDP,56.91,11.0
Midway City,8374,47430,Midway City,0.61,Midway City CDP,13727.87,255.0
Milford,181,47472,Milford,5.29,Milford CDP,34.22,7.0
Minkler,1074,47822,Minkler,5.83,Minkler CDP,184.22,
Miranda,672,48060,Miranda,1.49,Miranda CDP,451.01,17.0
Monmouth,103,48592,Monmouth,0.31,Monmouth CDP,332.26,
Mono City,98,48602,Mono City,5.42,Mono City CDP,18.08,
Monson,380,48676,Monson,0.5,Monson CDP,760.0,
Maywood,27542,46492,Maywood,1.18,Maywood city,23340.68,
Monrovia,37006,48648,Monrovia,13.64,Monrovia city,2713.05,239.0
Palmdale,156904,55156,Palmdale,106.08,Palmdale city,1479.11,2098.0
Quartz Hill,10164,59052,Quartz Hill,3.76,Quartz Hill CDP,2703.19,
Redondo Beach,67700,60018,Redondo Beach,6.2,Redondo Beach city,10919.35,80.0
San Marino,13285,68224,San Marino,3.77,San Marino city,3523.87,
Santa Fe Springs,17791,69154,Santa Fe Springs,8.87,Santa Fe Springs city,2005.75,118.0
Sierra Madre,11006,71806,Sierra Madre,2.95,Sierra Madre city,3730.85,
Manhattan Beach,35573,45400,Manhattan Beach,3.94,Manhattan Beach city,9028.68,
San Rafael,58939,68364,San Rafael,16.57,San Rafael city,3556.97,397.0
Santa Venetia,4790,70154,Santa Venetia,3.65,Santa Venetia CDP,1312.33,
Sausalito,7139,70364,Sausalito,1.77,Sausalito city,4033.33,
Stinson Beach,556,74172,Stinson Beach,1.44,Stinson Beach CDP,386.11,
Bootjack,768,07525,Bootjack,7.0,Bootjack CDP,109.71,
Hayfork,2421,32562,Hayfork,72.1,Hayfork CDP,33.58,63.0
Lewiston,1340,41278,Lewiston,20.02,Lewiston CDP,66.93,122.0
Beaumont,45403,04758,Beaumont,30.02,Beaumont city,1512.43,387.0
Bermuda Dunes,6817,06028,Bermuda Dunes,2.95,Bermuda Dunes CDP,2310.85,
Rocklin,63127,62364,Rocklin,19.81,Rocklin city,3186.62,454.0
Grayson,1224,30882,Grayson,0.22,Grayson CDP,5563.64,
Keyes,6185,38422,Keyes,2.82,Keyes CDP,2193.26,4.0
Corcoran,22301,16224,Corcoran,7.5,Corcoran city,2973.47,120.0
Stratford,878,75252,Stratford,0.68,Stratford CDP,1291.18,
Laguna Hills,31185,39220,Laguna Hills,6.6,Laguna Hills city,4725.0,252.0
Alpaugh,1074,01164,Alpaugh,1.01,Alpaugh CDP,1063.37,
Farmersville,10742,23616,Farmersville,2.26,Farmersville city,4753.1,
Strathmore,2915,75280,Strathmore,1.41,Strathmore CDP,2067.38,40.0
Visalia,131066,82954,Visalia,37.89,Visalia city,3459.12,1312.0
Laguna Woods,16228,39259,Laguna Woods,3.34,Laguna Woods city,4858.68,
La Habra,61910,39290,La Habra,7.35,La Habra city,8423.13,510.0
Seal Beach,24364,70686,Seal Beach,11.28,Seal Beach city,2159.93,125.0
Villa Park,5912,82744,Villa Park,2.08,Villa Park city,2842.31,
Meadow Vista,3460,46632,Meadow Vista,5.28,Meadow Vista CDP,655.3,22.0
Hayward,158241,33000,Hayward,45.54,Hayward city,3474.77,2397.0
Livermore,89027,41992,Livermore,27.02,Livermore city,3294.86,443.0
Lemon Grove,26767,41124,Lemon Grove,3.88,Lemon Grove city,6898.71,44.0
Fetters Hot Springs-Agua Caliente,4697,23973,Fetters Hot Springs-Agua Caliente,1.46,Fetters Hot Springs-Agua Caliente CDP,3217.12,
Healdsburg,11802,33056,Healdsburg,4.46,Healdsburg city,2646.19,75.0
Petaluma,60635,56784,Petaluma,14.38,Petaluma city,4216.62,874.0
Mineral,292,47794,Mineral,44.3,Mineral CDP,6.59,
Red Bluff,14132,59892,Red Bluff,7.56,Red Bluff city,1869.31,721.0
Laytonville,1175,40928,Laytonville,5.37,Laytonville CDP,218.81,19.0
Montalvin Manor,3023,48718,Montalvin Manor,0.32,Montalvin Manor CDP,9446.88,
Monterey Park Tract,291,48916,Monterey Park Tract,0.05,Monterey Park Tract CDP,5820.0,
Monument Hills,1700,49045,Monument Hills,4.03,Monument Hills CDP,421.84,
Moskowite Corner,151,49432,Moskowite Corner,2.81,Moskowite Corner CDP,53.74,
Mountain Center,0,49544,Mountain Center,1.88,Mountain Center CDP,0.0,30.0
Mountain Gate,794,49558,Mountain Gate,1.98,Mountain Gate CDP,401.01,
Mountain House,15645,49582,Mountain House,3.19,Mountain House CDP,4904.39,
Mount Hermon,998,49796,Mount Hermon,0.65,Mount Hermon CDP,1535.38,
Mount Laguna,0,49810,Mount Laguna,1.7,Mount Laguna CDP,0.0,170.0
Myers Flat,0,50146,Myers Flat,0.43,Myers Flat CDP,0.0,1.0
Newcastle,1167,51000,Newcastle,2.39,Newcastle CDP,488.28,231.0
New Cuyama,763,51028,New Cuyama,0.71,New Cuyama CDP,1074.65,
Newell,342,51042,Newell,2.41,Newell CDP,141.91,
New Pine Creek,71,51168,New Pine Creek,2.27,New Pine Creek CDP,31.28,
Nicasio,106,51280,Nicasio,1.3,Nicasio CDP,81.54,
Nicolaus,166,51336,Nicolaus,3.14,Nicolaus CDP,52.87,3.0
Nipinnawasee,319,51470,Nipinnawasee,3.09,Nipinnawasee CDP,103.24,
Nord,426,51574,Nord,2.11,Nord CDP,201.9,
Norris Canyon,987,51622,Norris Canyon,3.7,Norris Canyon CDP,266.76,
North Gate,559,51890,North Gate,0.66,North Gate CDP,846.97,
North Richmond,4233,52162,North Richmond,1.39,North Richmond CDP,3045.32,
Elk Grove,168503,22020,Elk Grove,41.98,Elk Grove city,4013.89,202.0
El Dorado Hills,45599,21880,El Dorado Hills,48.46,El Dorado Hills CDP,940.96,131.0
West Point,571,84732,West Point,3.72,West Point CDP,153.49,42.0
Mountain View,80993,49670,Mountain View,11.99,Mountain View city,6755.05,1130.0
Bonsall,4464,07498,Bonsall,13.4,Bonsall CDP,333.13,18.0
Lake Forest,82911,39496,Lake Forest,16.63,Lake Forest city,4985.63,653.0
Santa Ana,333499,69000,Santa Ana,27.36,Santa Ana city,12189.29,3977.0
Lemoore,25791,41152,Lemoore,8.52,Lemoore city,3027.11,392.0
Poplar-Cotton Center,2436,58191,Poplar-Cotton Center,1.28,Poplar-Cotton Center CDP,1903.12,
La Presa,37437,40326,La Presa,5.5,La Presa CDP,6806.73,
Los Molinos,1845,44140,Los Molinos,2.18,Los Molinos CDP,846.33,253.0
Agoura Hills,20636,00394,Agoura Hills,7.8,Agoura Hills city,2645.64,
Mendocino,782,46814,Mendocino,2.26,Mendocino CDP,346.02,15.0
Eldridge,1351,21894,Eldridge,0.65,Eldridge CDP,2078.46,
Duarte,21713,19990,Duarte,6.7,Duarte city,3240.75,141.0
Fort Bragg,7298,25058,Fort Bragg,2.9,Fort Bragg city,2516.55,344.0
Solana Beach,13370,72506,Solana Beach,3.41,Solana Beach city,3920.82,
Rolling Hills,1630,62602,Rolling Hills,2.99,Rolling Hills city,545.15,
Whittier,86523,85292,Whittier,14.65,Whittier city,5906.01,583.0
North El Monte,4028,51820,North El Monte,0.42,North El Monte CDP,9590.48,
Cherryland,16387,12902,Cherryland,1.2,Cherryland CDP,13655.83,
Shingle Springs,3865,71554,Shingle Springs,8.2,Shingle Springs CDP,471.34,138.0
South Lake Tahoe,21814,73108,South Lake Tahoe,10.15,South Lake Tahoe city,2149.16,678.0
Lockeford,3390,42104,Lockeford,8.34,Lockeford CDP,406.47,181.0
Morada,4068,49180,Morada,2.98,Morada CDP,1365.1,
Stockton,306283,75000,Stockton,61.69,Stockton city,4964.87,2662.0
Lakeport,4855,39710,Lakeport,3.06,Lakeport city,1586.6,712.0
Leggett,62,41026,Leggett,2.7,Leggett CDP,22.96,43.0
Lemon Hill,14096,41142,Lemon Hill,1.64,Lemon Hill CDP,8595.12,
Leona Valley,1581,41208,Leona Valley,18.59,Leona Valley CDP,85.05,15.0
Likely,0,41390,Likely,1.33,Likely CDP,0.0,20.0
Lindcove,438,41656,Lindcove,0.68,Lindcove CDP,644.12,
Linnell Camp,686,41740,Linnell Camp,0.12,Linnell Camp CDP,5716.67,
Litchfield,178,41782,Litchfield,3.94,Litchfield CDP,45.18,16.0
Little River,189,41866,Little River,1.67,Little River CDP,113.17,120.0
Hollister,37835,34120,Hollister,7.33,Hollister city,5161.66,346.0
Artesia,16817,02896,Artesia,1.62,Artesia city,10380.86,97.0
Azusa,49544,03386,Azusa,9.67,Azusa city,5123.47,588.0
Baldwin Park,76222,03666,Baldwin Park,6.63,Baldwin Park city,11496.53,275.0
Cerritos,50172,12552,Cerritos,8.72,Cerritos city,5753.67,
Commerce,12933,14974,Commerce,6.54,Commerce city,1977.52,
Hidden Hills,1634,33518,Hidden Hills,1.69,Hidden Hills city,966.86,
Industry,344,36490,Industry,11.79,Industry city,29.18,
Inglewood,110327,36546,Inglewood,9.07,Inglewood city,12163.95,66.0
Lennox,21329,41180,Lennox,1.09,Lennox CDP,19567.89,
Canyondam,66,10914,Canyondam,0.77,Canyondam CDP,85.71,
Crescent Mills,287,17050,Crescent Mills,4.24,Crescent Mills CDP,67.69,4.0
La Porte,0,40312,La Porte,4.46,La Porte CDP,0.0,
Little Grass Valley,0,41789,Little Grass Valley,10.0,Little Grass Valley CDP,0.0,
Mohawk Vista,63,48448,Mohawk Vista,11.97,Mohawk Vista CDP,5.26,
Chinese Camp,206,13182,Chinese Camp,0.9,Chinese Camp CDP,228.89,
West Puente Valley,23629,84774,West Puente Valley,1.87,West Puente Valley CDP,12635.83,
Colusa,5902,14946,Colusa,1.83,Colusa city,3225.14,183.0
Forest Meadows,1516,24897,Forest Meadows,5.66,Forest Meadows CDP,267.84,
El Cerrito,5471,21810,El Cerrito,2.57,El Cerrito CDP,2128.79,
Idyllwild-Pine Cove,2459,36203,Idyllwild-Pine Cove,13.72,Idyllwild-Pine Cove CDP,179.23,
