city,mh_spaces
Canyon Lake,1.0
Aromas,1.0
Magalia,1.0
Point Arena,1.0
Loch Lomond,1.0
Prattville,1.0
Holt,1.0
Beckwourth,1.0
Scotia,1.0
Vernalis,1.0
Duncans Mills,1.0
Creston,1.0
Myers Flat,1.0
Cadiz,1.0
Lakeshore,2.0
Banta,2.0
Dorris,2.0
Albion,2.0
Silverado,2.0
Biggs,2.0
Paicines,2.0
177 Leonard Ave,2.0
1/2 Mi West Of Big Bar,2.0
8 Mi E Of Taft,2.0
Fawnskin,2.0
Bonita,2.0
Dorrington,2.0
Copperopolis,3.0
3 Mi E Of Williams,3.0
Parlier,3.0
Nicolaus,3.0
Wildwood,3.0
Belden,4.0
Redcrest,4.0
Keyes,4.0
Blairsden,4.0
Crows Landing,4.0
Lotus,4.0
Cartago,4.0
Chilcoot,4.0
Crescent Mills,4.0
Whitmore,5.0
Victor,5.0
Fort Jones,5.0
Elk Creek,5.0
Hwy 113,5.0
Rainbow,5.0
Jenner,5.0
Meadow Valley,6.0
Meridian,6.0
Quail Valley,6.0
Chalfant Valley,6.0
Whitethorn,6.0
Calpine,6.0
Weott,7.0
Milford,7.0
Stonyford,7.0
Shaver Lake,7.0
Montgomery Creek,7.0
Boonville,7.0
Callahan,8.0
Guerneville,8.0
1/2 Mi N Trinity Center,8.0
Downieville,8.0
Cedarville,8.0
Philo,9.0
Dos Palos,9.0
Trona,9.0
Chowchilla,9.0
Calpella,9.0
Palo Cedro,9.0
June Lake,9.0
Piru,9.0
Santa Monica,10.0
Lytle Creek,10.0
Mad River,10.0
Glenn,10.0
Challenge,10.0
Ripon,11.0
Doyle,11.0
Midpines,11.0
Benton,11.0
Garberville,12.0
Big Sur,12.0
1/2 M/W Of Shingletown,12.0
Potter Valley,12.0
Castella,12.0
Manchester,12.0
Oregon House,12.0
Hyampom,12.0
Robbins,13.0
Ferndale,13.0
La Grange,13.0
Somes Bar,13.0
Cohasset,14.0
Manton,14.0
Topaz,14.0
San Ardo,14.0
Gonzales,14.0
#9,14.0
Leona Valley,15.0
Mendocino,15.0
2Mi N Of Milford,15.0
Mira Loma,15.0
Monte Rio,15.0
Loleta,15.0
Santa Ynez,15.0
California Hot Springs,15.0
French Camp,15.0
Boyes Springs,15.0
Helena,15.0
Forbestown,15.0
Oro Grande,15.0
Chiriaco Summit,16.0
Knights Landing,16.0
Litchfield,16.0
Seiad Valley,16.0
Baywood Park,16.0
Avalon,17.0
Miranda,17.0
Gazelle,17.0
Kagel Canyon,17.0
Haddad,18.0
Bonsall,18.0
Bieber,18.0
Cassel,18.0
Branscomb,18.0
Arbuckle,18.0
Ocotillo,19.0
Shoshone,19.0
Wrightwood,19.0
San Juan Bautista,19.0
Cromberg,19.0
Big Oak Flat,19.0
Laytonville,19.0
Space #1,19.0
Orick,20.0
Forest Knolls,20.0
Lake Almanor,20.0
Round Mountain,20.0
Hood,20.0
Ruth,20.0
Larkspur,20.0
East Shore,20.0
La Honda,20.0
Hwy 96,20.0
Jacumba,20.0
Forest Ranch,20.0
Likely,20.0
Adin,20.0
Twain,20.0
Badger,20.0
Loyalton,21.0
Huron,21.0
Big Bar,21.0
Seeley,21.0
Lake Hughes,21.0
Tecopa,21.0
Gerber,21.0
Meadow Vista,22.0
Carlotta,22.0
Burnt Ranch,22.0
Middletown,23.0
Avenal,23.0
Piedra,24.0
Phillipsville,24.0
Bodfish,24.0
Walker,24.0
Huntington Park,24.0
Bard,24.0
Mill Creek,24.0
Martell,24.0
Big Pine,24.0
Rodeo,24.0
Riverdale,25.0
Monterey Park,25.0
Pilot Hill,25.0
Dillon Beach,25.0
Sheridan,25.0
Clearlake Park,25.0
Salyer,25.0
Grimes,26.0
Hornbrook,26.0
Maxwell,26.0
Mi Wuk Village,27.0
Catheys Valley,27.0
Kelsey,27.0
